index,type,sourceName,sourceVersion,unit,creationDate,datetime,endDate,hr,device
110,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 03:00:00,2022-12-16 04:00:00+01:00,57.0,
111,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 03:00:00,2022-12-16 04:00:00+01:00,77.0,
112,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,55.0,
113,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,66.0,
114,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,83.0,
115,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,84.0,
116,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 05:00:00,2022-12-16 06:00:00+01:00,54.0,
117,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 05:00:00,2022-12-16 06:00:00+01:00,73.0,
118,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 06:00:00,2022-12-16 07:00:00+01:00,52.0,
119,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 06:00:00,2022-12-16 07:00:00+01:00,63.0,
120,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 07:00:00,2022-12-16 08:00:00+01:00,52.0,
121,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 07:00:00,2022-12-16 08:00:00+01:00,129.0,
122,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,67.0,
123,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,75.0,
124,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,106.0,
125,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,106.0,
126,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,122.0,
127,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,125.0,
128,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,136.0,
129,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 08:00:00,2022-12-16 09:00:00+01:00,136.0,
130,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,62.0,
131,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:50:19+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,74.0,
